i,j,nx,ny,nz
0,0,-0.3248276453247871,-0.32482764532478714,0.8882420850564944
1,0,-0.5528963268388087,-0.2930363219907488,0.7800226700309982
2,0,-0.5996325252110206,-0.29081843315360123,0.7455638628897857
3,0,-0.6066633661546871,-0.29905148048703317,0.7365648458787438
4,0,-0.6072248810854641,-0.3094098834633761,0.7318083545614412
5,0,-0.6065302517132851,-0.3204259778169606,0.7276319443899257
6,0,-0.6051108683201089,-0.3319431469916526,0.7236398166257587
7,0,-0.6029441683564338,-0.3439644096416402,0.7198241554330103
8,0,-0.5999524845746764,-0.3565061596880169,0.7162125203856566
9,0,-0.5960466225330094,-0.3695842111531554,0.7128365413145512
10,0,-0.5911281296138158,-0.3832120773080838,0.7097295528470652
11,0,-0.5850887185582895,-0.39739991485724124,0.7069260916724436
12,0,-0.5778095961902975,-0.4121532478851826,0.7044613337920687
13,0,-0.5691609171331353,-0.42747136883350406,0.7023703291254398
14,0,-0.5590014696201402,-0.4433453559471816,0.7006869859806091
15,0,-0.5471787325307202,-0.45975565065240587,0.6994427613173629
16,0,-0.5335294896840396,-0.4766691492626984,0.6986650168561924
17,0,-0.5178812419968143,-0.4940357884508619,0.6983750130965257
18,0,-0.5000547160099755,-0.5117846499211592,0.6985855374263479
19,0,-0.479867819756143,-0.5298196845109133,0.699298203534974
20,0,-0.45714142854641754,-0.5480152670626262,0.7005005220360789
21,0,-0.4317073700696429,-0.566211945170714,0.7021629296492009
22,0,-0.4034188874072243,-0.5842129336363471,0.7042360750878434
23,0,-0.37216365157200004,-0.6017821136639384,0.7066487841373237
24,0,-0.33787903683102516,-0.6186444807151353,0.7093072415750733
25,0,-0.3005688482980051,-0.6344900796964278,0.7120959950734392
26,0,-0.2603200345492616,-0.6489823800791185,0.7148813537637654
27,0,-0.21731723380610088,-0.661771683303744,0.7175175670798545
28,0,-0.17185248085926663,-0.6725134650884265,0.7198557939596465
29,0,-0.12432729381699413,-0.6808905730698344,0.7217553266286125
30,0,-0.07524489794872505,-0.6866370991300591,0.723095913023261
