i,j,nx,ny,nz
0,0,-0.5284126651289184,-0.5284126651289185,0.6644998951562802
1,0,-0.5252960172227809,-0.5425188374595934,0.6555435952637896
2,0,-0.5215469613259277,-0.5569060773480246,0.646408839779073
3,0,-0.5171240644136605,-0.5715581764572035,0.6371059197097547
4,0,-0.5119851058877901,-0.5864556667441962,0.6276471957180153
5,0,-0.5060873716877156,-0.6015755550250204,0.6180472666508272
6,0,-0.4993880048959232,-0.6168910648714347,0.6083231334150107
7,0,-0.49184441656207106,-0.6323713927226626,0.5984943538269312
8,0,-0.4834147595782616,-0.6479814862432015,0.5885831833377022
9,0,-0.4740584672109204,-0.6636818540952888,0.5786146958125696
10,0,-0.4637368562954627,-0.6794284173631201,0.5686168778647422
11,0,-0.45241379310341456,-0.6951724137930518,0.5586206896552641
12,0,-0.4400564174893889,-0.7108603667136286,0.5486600846263286
13,0,-0.42663591813199514,-0.7264341308733969,0.5387719803979063
14,0,-0.4121283485428015,-0.741831027377043,0.5289961730940064
15,0,-0.3965154701111156,-0.7569840793030387,0.5193751877441701
16,0,-0.3797856049004317,-0.771822358346039,0.5099540581930609
17,0,-0.36193447737906903,-0.7862714508579776,0.5007800312013563
18,0,-0.3429660209590099,-0.8002540489043567,0.4919021911719112
19,0,-0.3228931223764702,-0.8136906683887053,0.4833710041977238
20,0,-0.3017382748441898,-0.82650049196452,0.4752377828797483
21,0,-0.279534109816952,-0.8386023294508562,0.46755407653921915
22,0,-0.2563237774030176,-0.8499156829679001,0.46037099494109784
23,0,-0.2321611471491816,-0.8603618982587316,0.45373847729612726
24,0,-0.2071108042802756,-0.8698653779771576,0.4477045219193505
25,0,-0.18124782154059393,-0.8783548274659556,0.44231439525979765
26,0,-0.1546572934973532,-0.8857644991212047,0.43760984182789464
27,0,-0.1274336283185754,-0.8920353982300278,0.43362831858419854
28,0,-0.09967960128158804,-0.8971164115342929,0.43040227839101525
29,0,-0.07150518412584418,-0.9009653199856379,0.4279585269933364
30,0,-0.04302617425600292,-0.9035496593760594,0.42631767658672015
31,0,-0.014362657091561053,-0.904847396768341,0.42549371633765254
32,0,0.014362657091560961,-0.904847396768341,0.42549371633765254
33,0,0.04302617425600283,-0.9035496593760594,0.42631767658672015
34,0,0.07150518412584429,-0.9009653199856379,0.4279585269933364
35,0,0.09967960128158815,-0.8971164115342929,0.43040227839101525
36,0,0.12743362831857533,-0.8920353982300278,0.43362831858419854
37,0,0.15465729349735308,-0.8857644991212047,0.43760984182789464
38,0,0.18124782154059405,-0.8783548274659556,0.44231439525979765
39,0,0.2071108042802757,-0.8698653779771576,0.4477045219193505
40,0,0.2321611471491815,-0.8603618982587316,0.45373847729612726
41,0,0.2563237774030175,-0.8499156829679001,0.46037099494109784
42,0,0.27953410981695204,-0.8386023294508561,0.46755407653921915
43,0,0.30173827484418986,-0.8265004919645199,0.47523778287974827
44,0,0.32289312237647033,-0.8136906683887053,0.4833710041977238
45,0,0.34296602095901,-0.8002540489043567,0.4919021911719112
46,0,0.3619344773790691,-0.7862714508579776,0.5007800312013563
47,0,0.37978560490043184,-0.771822358346039,0.509954058193061
48,0,0.39651547011111554,-0.7569840793030387,0.5193751877441701
49,0,0.41212834854280156,-0.741831027377043,0.5289961730940064
50,0,0.4266359181319951,-0.7264341308733969,0.5387719803979063
51,0,0.440056417489389,-0.7108603667136286,0.5486600846263286
52,0,0.4524137931034146,-0.6951724137930517,0.558620689655264
53,0,0.4637368562954628,-0.6794284173631201,0.5686168778647422
54,0,0.4740584672109205,-0.6636818540952888,0.5786146958125696
55,0,0.4834147595782616,-0.6479814862432016,0.5885831833377022
56,0,0.49184441656207095,-0.6323713927226627,0.5984943538269312
57,0,0.4993880048959233,-0.6168910648714346,0.6083231334150105
58,0,0.5060873716877156,-0.6015755550250204,0.6180472666508272
59,0,0.5119851058877902,-0.5864556667441962,0.6276471957180153
60,0,0.5171240644136604,-0.5715581764572036,0.6371059197097547
61,0,0.5215469613259277,-0.5569060773480246,0.646408839779073
62,0,0.5252960172227809,-0.5425188374595934,0.6555435952637896
63,0,0.5284126651289184,-0.5284126651289184,0.66449989515628
0,1,-0.5425188374595933,-0.525296017222781,0.6555435952637896
1,1,-0.5397036053969956,-0.5397036053969957,0.6460959964610276
2,1,-0.536241763235588,-0.55441945012493,0.6364462622132036
3,1,-0.5320886814468678,-0.5694282380396305,0.6266044340724182
4,1,-0.52719865803974,-0.5847112389168025,0.6165827941529631
5,1,-0.5215252152521133,-0.6002460024599796,0.6063960639607179
6,1,-0.5150214592274291,-0.6160060590759446,0.5960616006059888
7,1,-0.5076405076404696,-0.6319606319605846,0.5855995855996697
8,1,-0.49933598937579277,-0.6480743691898586,0.5750332005312956
9,1,-0.49006261911240573,-0.6643071059079275,0.5643887830112525
10,1,-0.4797768479776492,-0.6806136680613164,0.5536959553696884
11,1,-0.46843758926017676,-0.696943730362702,0.5429877177950118
12,1,-0.4560070154925126,-0.7132417421805964,0.5323004969308209
13,1,-0.44245142002986293,-0.7294469357249093,0.5216741405083233
14,1,-0.4277421326000301,-0.7454934311029094,0.5111518484571781
15,1,-0.4118564742589407,-0.7613104524180417,0.5007800312013561
16,1,-0.39477873288758725,-0.7768226679400907,0.4906080865967364
17,1,-0.3765011359947799,-0.7919506653683306,0.48068808828313897
18,1,-0.3570247933884046,-0.8066115702478769,0.471074380165406
19,1,-0.3363605785401716,-0.8207198116380185,0.4618230743358073
20,1,-0.31452991452989265,-0.8341880341879762,0.45299145299157506
21,1,-0.29156542867058033,-0.8469281499478765,0.44463727872279024
22,1,-0.26751143963391333,-0.8588525167194062,0.4368180218234284
23,1,-0.24242424242422592,-0.8698752228163403,0.4295900178254408
