i,j,x,y,energy_density
0,0,0,0,0.0596086
1,0,1,0,0.0307428
2,0,2,0,0.0317024
3,0,3,0,0.032691
4,0,4,0,0.0337092
5,0,5,0,0.0347576
6,0,6,0,0.0358365
7,0,7,0,0.0369466
8,0,8,0,0.0380882
9,0,9,0,0.0392618
10,0,10,0,0.0404675
11,0,11,0,0.0417058
12,0,12,0,0.0429768
13,0,13,0,0.0442806
14,0,14,0,0.0456173
15,0,15,0,0.0469869
16,0,16,0,0.0483892
17,0,17,0,0.049824
18,0,18,0,0.051291
19,0,19,0,0.0527897
20,0,20,0,0.0543196
21,0,21,0,0.0558798
22,0,22,0,0.0574696
23,0,23,0,0.0590878
24,0,24,0,0.0607334
25,0,25,0,0.062405
26,0,26,0,0.0641009
27,0,27,0,0.0658195
28,0,28,0,0.0675589
29,0,29,0,0.069317
30,0,30,0,0.0710913
31,0,31,0,0.0728795
32,0,32,0,0.0746786
33,0,33,0,0.0764858
34,0,34,0,0.078298
35,0,35,0,0.0801116
36,0,36,0,0.0819232
37,0,37,0,0.0837289
38,0,38,0,0.0855248
39,0,39,0,0.0873066
40,0,40,0,0.0890701
41,0,41,0,0.0908107
42,0,42,0,0.0925238
43,0,43,0,0.0942047
44,0,44,0,0.0958485
45,0,45,0,0.0974503
46,0,46,0,0.0990051
47,0,47,0,0.100508
48,0,48,0,0.101954
49,0,49,0,0.103338
50,0,50,0,0.104655
51,0,51,0,0.105901
52,0,52,0,0.107071
53,0,53,0,0.108161
54,0,54,0,0.109166
55,0,55,0,0.110083
56,0,56,0,0.110907
57,0,57,0,0.111636
58,0,58,0,0.112267
59,0,59,0,0.112796
60,0,60,0,0.113223
61,0,61,0,0.113544
62,0,62,0,0.113759
63,0,63,0,0.113867
64,0,64,0,0.113867
65,0,65,0,0.113759
66,0,66,0,0.113544
67,0,67,0,0.113223
68,0,68,0,0.112796
69,0,69,0,0.112267
70,0,70,0,0.111636
71,0,71,0,0.110907
72,0,72,0,0.110083
73,0,73,0,0.109166
74,0,74,0,0.108161
75,0,75,0,0.107071
