i,j,x,y,phi_x,phi_y,phi_z
0,0,0,0,-0.244216,0.244216,0.938465
1,0,1,0,-0.244066,0.247971,0.937519
2,0,2,0,-0.243851,0.251781,0.936559
3,0,3,0,-0.243568,0.255646,0.935585
4,0,4,0,-0.243214,0.259564,0.934598
5,0,5,0,-0.242786,0.263537,0.933597
6,0,6,0,-0.242281,0.267562,0.932583
7,0,7,0,-0.241695,0.27164,0.931555
8,0,8,0,-0.241026,0.275768,0.930515
9,0,9,0,-0.24027,0.279948,0.929462
10,0,10,0,-0.239424,0.284176,0.928397
11,0,11,0,-0.238484,0.288452,0.927319
12,0,12,0,-0.237447,0.292774,0.92623
13,0,13,0,-0.236309,0.297141,0.92513
14,0,14,0,-0.235067,0.301551,0.924019
15,0,15,0,-0.233717,0.306001,0.922897
16,0,16,0,-0.232256,0.31049,0.921766
17,0,17,0,-0.23068,0.315014,0.920626
18,0,18,0,-0.228985,0.319572,0.919478
19,0,19,0,-0.227168,0.32416,0.918322
20,0,20,0,-0.225224,0.328776,0.917159
21,0,21,0,-0.223152,0.333415,0.91599
22,0,22,0,-0.220947,0.338075,0.914816
23,0,23,0,-0.218605,0.342751,0.913638
24,0,24,0,-0.216124,0.34744,0.912456
25,0,25,0,-0.2135,0.352136,0.911273
26,0,26,0,-0.21073,0.356836,0.910089
27,0,27,0,-0.207811,0.361534,0.908905
28,0,28,0,-0.20474,0.366225,0.907723
29,0,29,0,-0.201515,0.370904,0.906544
30,0,30,0,-0.198133,0.375566,0.905369
31,0,31,0,-0.194593,0.380204,0.904201
32,0,32,0,-0.190891,0.384812,0.903039
33,0,33,0,-0.187027,0.389384,0.901888
34,0,34,0,-0.182999,0.393913,0.900746
35,0,35,0,-0.178806,0.398392,0.899618
36,0,36,0,-0.174447,0.402815,0.898503
37,0,37,0,-0.169923,0.407174,0.897405
38,0,38,0,-0.165232,0.411461,0.896325
39,0,39,0,-0.160376,0.415669,0.895264
40,0,40,0,-0.155356,0.419791,0.894226
41,0,41,0,-0.150172,0.423819,0.893211
42,0,42,0,-0.144827,0.427744,0.892222
43,0,43,0,-0.139323,0.43156,0.89126
44,0,44,0,-0.133662,0.435258,0.890329
45,0,45,0,-0.127848,0.43883,0.889429
46,0,46,0,-0.121885,0.442268,0.888562
