i,j,x,y,topological_charge_density
0,0,0,0,-0.00445553
1,0,1,0,-6.02191e-07
2,0,2,0,5.80619e-07
3,0,3,0,1.85493e-06
4,0,4,0,3.22553e-06
5,0,5,0,4.69733e-06
6,0,6,0,6.27533e-06
7,0,7,0,7.96465e-06
8,0,8,0,9.77044e-06
9,0,9,0,1.16979e-05
10,0,10,0,1.37524e-05
11,0,11,0,1.5939e-05
12,0,12,0,1.8263e-05
13,0,13,0,2.07296e-05
14,0,14,0,2.33438e-05
15,0,15,0,2.61104e-05
16,0,16,0,2.90342e-05
17,0,17,0,3.21196e-05
18,0,18,0,3.53708e-05
19,0,19,0,3.87916e-05
20,0,20,0,4.23852e-05
21,0,21,0,4.61547e-05
22,0,22,0,5.01023e-05
23,0,23,0,5.42296e-05
24,0,24,0,5.85377e-05
25,0,25,0,6.30267e-05
26,0,26,0,6.7696e-05
27,0,27,0,7.25437e-05
28,0,28,0,7.75673e-05
29,0,29,0,8.2763e-05
30,0,30,0,8.81256e-05
31,0,31,0,9.3649e-05
32,0,32,0,9.93254e-05
33,0,33,0,0.000105146
34,0,34,0,0.0001111
35,0,35,0,0.000117175
36,0,36,0,0.000123359
37,0,37,0,0.000129635
38,0,38,0,0.000135988
39,0,39,0,0.000142398
40,0,40,0,0.000148847
41,0,41,0,0.000155313
42,0,42,0,0.000161774
43,0,43,0,0.000168204
44,0,44,0,0.000174581
45,0,45,0,0.000180877
46,0,46,0,0.000187065
47,0,47,0,0.000193118
48,0,48,0,0.000199007
49,0,49,0,0.000204705
50,0,50,0,0.000210182
51,0,51,0,0.00021541
52,0,52,0,0.000220362
53,0,53,0,0.00022501
54,0,54,0,0.000229329
55,0,55,0,0.000233294
56,0,56,0,0.000236881
57,0,57,0,0.000240069
58,0,58,0,0.00024284
59,0,59,0,0.000245175
60,0,60,0,0.000247061
61,0,61,0,0.000248487
62,0,62,0,0.000249442
63,0,63,0,0.000249921
64,0,64,0,0.000249921
65,0,65,0,0.000249442
66,0,66,0,0.000248487
67,0,67,0,0.000247061
68,0,68,0,0.000245175
69,0,69,0,0.00024284
70,0,70,0,0.000240069
71,0,71,0,0.000236881
72,0,72,0,0.000233294
73,0,73,0,0.000229329
74,0,74,0,0.00022501
75,0,75,0,0.000220362
76,0,76,0,0.00021541
77,0,77,0,0.000210182
78,0,78,0,0.000204705
79,0,79,0,0.000199007
80,0,80,0,0.000193118
81,0,81,0,0.000187065
82,0,82,0,0.000180877
83,0,83,0,0.000174581
84,0,84,0,0.000168204
85,0,85,0,0.000161774
86,0,86,0,0.000155313
87,0,87,0,0.000148847
88,0,88,0,0.000142398
89,0,89,0,0.000135988
90,0,90,0,0.000129635
91,0,91,0,0.000123359
92,0,92,0,0.000117175
93,0,93,0,0.0001111
94,0,94,0,0.000105146
95,0,95,0,9.93254e-05
96,0,96,0,9.3649e-05
97,0,97,0,8.81256e-05
98,0,98,0,8.2763e-05
99,0,99,0,7.75673e-05
100,0,100,0,7.25437e-05
101,0,101,0,6.7696e-05
102,0,102,0,6.30267e-05
103,0,103,0,5.85377e-05
104,0,104,0,5.42296e-05
105,0,105,0,5.01023e-05
106,0,106,0,4.61547e-05
107,0,107,0,4.23852e-05
108,0,108,0,3.87916e-05
109,0,109,0,3.53708e-05
110,0,110,0,3.21196e-05
111,0,111,0,2.90342e-05
112,0,112,0,2.61104e-05
113,0,113,0,2.33438e-05
114,0,114,0,2.07296e-05
115,0,115,0,1.8263e-05
116,0,116,0,1.5939e-05
117,0,117,0,1.37524e-05
118,0,118,0,1.16979e-05
119,0,119,0,9.77044e-06
120,0,120,0,7.96465e-06
121,0,121,0,6.27533e-06
122,0,122,0,4.69733e-06
123,0,123,0,3.22553e-06
124,0,124,0,1.85493e-06
125,0,125,0,5.80619e-07
126,0,126,0,-6.02191e-07
127,0,127,0,-0.00445553
0,1,0,1,-6.02191e-07
1,1,1,1,1.2517e-06
2,1,2,1,1.29108e-06
3,1,3,1,1.33167e-06
4,1,4,1,1.37348e-06
5,1,5,1,1.41655e-06
6,1,6,1,1.4609e-06
7,1,7,1,1.50654e-06
8,1,8,1,1.55349e-06
9,1,9,1,1.60178e-06
10,1,10,1,1.65141e-06
11,1,11,1,1.7024e-06
12,1,12,1,1.75476e-06
13,1,13,1,1.80849e-06
14,1,14,1,1.8636e-06
15,1,15,1,1.92009e-06
16,1,16,1,1.97796e-06
17,1,17,1,2.03719e-06
18,1,18,1,2.09778e-06
19,1,19,1,2.1597e-06
20,1,20,1,2.22294e-06
21,1,21,1,2.28746e-06
22,1,22,1,2.35323e-06
23,1,23,1,2.42021e-06
24,1,24,1,2.48835e-06
25,1,25,1,2.5576e-06
26,1,26,1,2.62789e-06
27,1,27,1,2.69915e-06
28,1,28,1,2.7713e-06
29,1,29,1,2.84426e-06
30,1,30,1,2.91793e-06
31,1,31,1,2.9922e-06
32,1,32,1,3.06696e-06
33,1,33,1,3.1421e-06
34,1,34,1,3.21746e-06
35,1,35,1,3.29293e-06
36,1,36,1,3.36834e-06
37,1,37,1,3.44353e-06
38,1,38,1,3.51835e-06
39,1,39,1,3.59261e-06
40,1,40,1,3.66614e-06
41,1,41,1,3.73874e-06
42,1,42,1,3.81022e-06
43,1,43,1,3.88038e-06
44,1,44,1,3.94902e-06
45,1,45,1,4.01593e-06
46,1,46,1,4.0809e-06
47,1,47,1,4.14371e-06
48,1,48,1,4.20417e-06
49,1,49,1,4.26205e-06
50,1,50,1,4.31717e-06
51,1,51,1,4.3693e-06
52,1,52,1,4.41828e-06
53,1,53,1,4.46389e-06
54,1,54,1,4.50598e-06
55,1,55,1,4.54437e-06
56,1,56,1,4.5789e-06
57,1,57,1,4.60945e-06
58,1,58,1,4.63587e-06
59,1,59,1,4.65806e-06
60,1,60,1,4.67593e-06
61,1,61,1,4.6894e-06
62,1,62,1,4.69842e-06
63,1,63,1,4.70293e-06
64,1,64,1,4.70293e-06
65,1,65,1,4.69842e-06
66,1,66,1,4.6894e-06
67,1,67,1,4.67593e-06
68,1,68,1,4.65806e-06
69,1,69,1,4.63587e-06
70,1,70,1,4.60945e-06
71,1,71,1,4.5789e-06
72,1,72,1,4.54437e-06
73,1,73,1,4.50598e-06
74,1,74,1,4.46389e-06
75,1,75,1,4.41828e-06
76,1,76,1,4.3693e-06
77,1,77,1,4.31717e-06
78,1,78,1,4.26205e-06
79,1,79,1,4.20417e-06
80,1,80,1,4.14371e-06
81,1,81,1,4.0809e-06
82,1,82,1,4.01593e-06
83,1,83,1,3.94902e-06
84,1,84,1,3.88038e-06
85,1,85,1,3.81022e-06
86,1,86,1,3.73874e-06
87,1,87,1,3.66614e-06
88,1,88,1,3.59261e-06
89,1,89,1,3.51835e-06
90,1,90,1,3.44353e-06
91,1,91,1,3.36834e-06
92,1,92,1,3.29293e-06
93,1,93,1,3.21746e-06
94,1,94,1,3.1421e-06
95,1,95,1,3.06696e-06
96,1,96,1,2.9922e-06
97,1,97,1,2.91793e-06
98,1,98,1,2.84426e-06
99,1,99,1,2.7713e-06
100,1,100,1,2.69915e-06
101,1,101,1,2.62789e-06
102,1,102,1,2.5576e-06
103,1,103,1,2.48835e-06
104,1,104,1,2.42021e-06
105,1,105,1,2.35323e-06
106,1,106,1,2.28746e-06
107,1,107,1,2.22294e-06
108,1,108,1,2.1597e-06
109,1,109,1,2.09778e-06
110,1,110,1,2.03719e-06
111,1,111,1,1.97796e-06
112,1,112,1,1.92009e-06
113,1,113,1,1.8636e-06
114,1,114,1,1.80849e-06
115,1,115,1,1.75476e-06
116,1,116,1,1.7024e-06
117,1,117,1,1.65141e-06
118,1,118,1,1.60178e-06
119,1,119,1,1.55349e-06
120,1,120,1,1.50654e-06
121,1,121,1,1.4609e-06
122,1,122,1,1.41655e-06
123,1,123,1,1.37348e-06
124,1,124,1,1.33167e-06
125,1,125,1,1.29108e-06
126,1,126,1,1.2517e-06
127,1,127,1,-6.02191e-07
0,2,0,2,5.80619e-07
1,2,1,2,1.29108e-06
2,2,2,2,1.33235e-06
3,2,3,2,1.37491e-06
4,2,4,2,1.4188e-06
5,2,5,2,1.46403e-06
6,2,6,2,1.51064e-06
7,2,7,2,1.55865e-06
8,2,8,2,1.60808e-06
9,2,9,2,1.65896e-06
10,2,10,2,1.71129e-06
11,2,11,2,1.7651e-06
12,2,12,2,1.8204e-06
13,2,13,2,1.87721e-06
14,2,14,2,1.93551e-06
15,2,15,2,1.99533e-06
16,2,16,2,2.05666e-06
17,2,17,2,2.11949e-06
18,2,18,2,2.18381e-06
19,2,19,2,2.24961e-06
20,2,20,2,2.31687e-06
21,2,21,2,2.38555e-06
22,2,22,2,2.45563e-06
23,2,23,2,2.52706e-06
24,2,24,2,2.5998e-06
25,2,25,2,2.67378e-06
26,2,26,2,2.74895e-06
27,2,27,2,2.82522e-06
28,2,28,2,2.90253e-06
29,2,29,2,2.98076e-06
30,2,30,2,3.05984e-06
31,2,31,2,3.13963e-06
32,2,32,2,3.22002e-06
33,2,33,2,3.30089e-06
34,2,34,2,3.38208e-06
35,2,35,2,3.46344e-06
36,2,36,2,3.54482e-06
37,2,37,2,3.62603e-06
38,2,38,2,3.70691e-06
39,2,39,2,3.78726e-06
40,2,40,2,3.86687e-06
41,2,41,2,3.94555e-06
42,2,42,2,4.02307e-06
43,2,43,2,4.09922e-06
44,2,44,2,4.17377e-06
45,2,45,2,4.2465e-06
46,2,46,2,4.31717e-06
47,2,47,2,4.38554e-06
48,2,48,2,4.45138e-06
49,2,49,2,4.51447e-06
50,2,50,2,4.57456e-06
51,2,51,2,4.63145e-06
52,2,52,2,4.68491e-06
53,2,53,2,4.73473e-06
54,2,54,2,4.78071e-06
55,2,55,2,4.82267e-06
56,2,56,2,4.86043e-06
57,2,57,2,4.89384e-06
58,2,58,2,4.92275e-06
59,2,59,2,4.94704e-06
60,2,60,2,4.9666e-06
61,2,61,2,4.98135e-06
62,2,62,2,4.99121e-06
63,2,63,2,4.99616e-06
64,2,64,2,4.99616e-06
65,2,65,2,4.99121e-06
66,2,66,2,4.98135e-06
67,2,67,2,4.9666e-06
68,2,68,2,4.94704e-06
69,2,69,2,4.92275e-06
70,2,70,2,4.89384e-06
71,2,71,2,4.86043e-06
72,2,72,2,4.82267e-06
73,2,73,2,4.78071e-06
74,2,74,2,4.73473e-06
75,2,75,2,4.68491e-06
76,2,76,2,4.63145e-06
77,2,77,2,4.57456e-06
78,2,78,2,4.51447e-06
79,2,79,2,4.45138e-06
80,2,80,2,4.38554e-06
81,2,81,2,4.31717e-06
82,2,82,2,4.2465e-06
83,2,83,2,4.17377e-06
84,2,84,2,4.09922e-06
85,2,85,2,4.02307e-06
86,2,86,2,3.94555e-06
87,2,87,2,3.86687e-06
88,2,88,2,3.78726e-06
89,2,89,2,3.70691e-06
90,2,90,2,3.62603e-06
91,2,91,2,3.54482e-06
92,2,92,2,3.46344e-06
93,2,93,2,3.38208e-06
94,2,94,2,3.30089e-06
95,2,95,2,3.22002e-06
96,2,96,2,3.13963e-06
97,2,97,2,3.05984e-06
98,2,98,2,2.98076e-06
99,2,99,2,2.90253e-06
100,2,100,2,2.82522e-06
101,2,101,2,2.74895e-06
102,2,102,2,2.67378e-06
103,2,103,2,2.5998e-06
104,2,104,2,2.52706e-06
105,2,105,2,2.45563e-06
106,2,106,2,2.38555e-06
107,2,107,2,2.31687e-06
108,2,108,2,2.24961e-06
109,2,109,2,2.18381e-06
110,2,110,2,2.11949e-06
111,2,111,2,2.05666e-06
112,2,112,2,1.99533e-06
113,2,113,2,1.93551e-06
114,2,114,2,1.87721e-06
115,2,115,2,1.8204e-06
116,2,116,2,1.7651e-06
117,2,117,2,1.71129e-06
118,2,118,2,1.65896e-06
119,2,119,2,1.60808e-06
120,2,120,2,1.55865e-06
121,2,121,2,1.51064e-06
122,2,122,2,1.46403e-06
123,2,123,2,1.4188e-06
124,2,124,2,1.37491e-06
125,2,125,2,1.33235e-06
126,2,126,2,1.29108e-06
127,2,127,2,5.80619e-07
0,3,0,3,1.85493e-06
1,3,1,3,1.33167e-06
2,3,2,3,1.37491e-06
3,3,3,3,1.41954e-06
4,3,4,3,1.4656e-06
5,3,5,3,1.51311e-06
6,3,6,3,1.56211e-06
7,3,7,3,1.61261e-06
8,3,8,3,1.66465e-06
9,3,9,3,1.71826e-06
10,3,10,3,1.77345e-06
11,3,11,3,1.83024e-06
12,3,12,3,1.88865e-06
13,3,13,3,1.94871e-06
14,3,14,3,2.0104e-06
15,3,15,3,2.07375e-06
16,3,16,3,2.13876e-06
17,3,17,3,2.20542e-06
18,3,18,3,2.27372e-06
19,3,19,3,2.34366e-06
20,3,20,3,2.41521e-06
21,3,21,3,2.48835e-06
22,3,22,3,2.56304e-06
23,3,23,3,2.63925e-06
24,3,24,3,2.71692e-06
25,3,25,3,2.79599e-06
26,3,26,3,2.87641e-06
27,3,27,3,2.95809e-06
28,3,28,3,3.04095e-06
29,3,29,3,3.12489e-06
30,3,30,3,3.20981e-06
31,3,31,3,3.29558e-06
32,3,32,3,3.38208e-06
33,3,33,3,3.46916e-06
34,3,34,3,3.55668e-06
35,3,35,3,3.64446e-06
36,3,36,3,3.73234e-06
37,3,37,3,3.82013e-06
38,3,38,3,3.90762e-06
39,3,39,3,3.99462e-06
40,3,40,3,4.08089e-06
41,3,41,3,4.16623e-06
42,3,42,3,4.25038e-06
43,3,43,3,4.33311e-06
44,3,44,3,4.41416e-06
45,3,45,3,4.49329e-06
46,3,46,3,4.57023e-06
47,3,47,3,4.64473e-06
48,3,48,3,4.71652e-06
49,3,49,3,4.78535e-06
50,3,50,3,4.85095e-06
51,3,51,3,4.91309e-06
52,3,52,3,4.97151e-06
53,3,53,3,5.02598e-06
54,3,54,3,5.07628e-06
55,3,55,3,5.1222e-06
56,3,56,3,5.16355e-06
57,3,57,3,5.20013e-06
58,3,58,3,5.23181e-06
59,3,59,3,5.25842e-06
60,3,60,3,5.27986e-06
61,3,61,3,5.29602e-06
62,3,62,3,5.30684e-06
63,3,63,3,5.31226e-06
64,3,64,3,5.31226e-06
65,3,65,3,5.30684e-06
66,3,66,3,5.29602e-06
67,3,67,3,5.27986e-06
